District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Pennsylvania 14th,PA-14,Democratic,Mike,Doyle,(MIKE DOYL),/maɪk dɔɪl/,1994,1953,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,74.4,25.6,100,0,,,,,68,30.6,D+,17,67.7,32.3,D+,14,75.3,18.9,1.6,2.7,0.2,1.4,32.9,144,34.4,191,"$43,763.00",368,74.4,25.6,100,0,76.9,23.1,338,,,,,148351,148351,0,0,251932,75702,,,,339399,230750,103977,362426,245432,116994,,17,14,705526,504934,151511,13002,17727,1089,17263,576561,433956,108743,9166,15481,896,8319
Pennsylvania 15th,PA-15,Republican,Charlie,Dent,(CHAR-lee DENT),/'tʃɑɹ.li dɛnt/,2004,1960,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,38,58.4,0,100,,,,,47.9,50.8,R+,3,52.8,47.2,R+,1,83,3.2,10.4,2.4,0.1,0.9,28.6,221,31.1,246,"$58,867.00",167,39.4,60.6,0,100,43.2,56.8,339,,,,,128285,0,128285,0,128764,168960,,,,307543,147234,156165,314221,165836,148385,,-3.4,-0.9,705554,559313,25933,91664,17602,797,10245,545594,452735,17611,56793,12972,588,4895
Pennsylvania 16th,PA-16,Republican,Lloyd,Smucker,(LOYD SMUH-ker),/lɔɪd 'smʌ.kəɹ/,2016,1964,Man,White - Non-Hispanic,,No,Open - Retired,42.9,53.8,42.3,57.7,,,,,46.3,52.4,R+,5,50.6,49.4,R+,3,78.5,5.5,13.2,1.7,0.1,0.9,25.6,272,29,276,"$55,802.00",202,44.4,55.6,42.3,57.7,41.6,58.4,340,,,,,176235,74513,101722,0,111185,156192,,,,292597,135331,153189,300584,152095,148489,,-5.1,-3.1,705612,527104,40059,114018,12498,1010,10923,526440,413235,28925,69609,9088,765,4818
Pennsylvania 17th,PA-17,Democratic,Matt,Cartwright,(MATT KART-rite),/mæt 'kɑɹt.ɹaɪt/,2012,1961,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,53.8,46.2,56.8,43.2,,,,,55.4,43.3,D+,4,57.6,42.4,D+,4,87.5,4.5,5.5,1.5,0.1,0.9,21.7,342,22.2,391,"$50,329.00",275,53.8,46.2,56.8,43.2,60.3,39.7,341,,,,,165051,93680,71371,0,161393,106208,,,,281710,156019,121870,302886,174446,128440,,4.2,3.9,705386,598290,35994,49022,10906,940,10234,554815,485267,25229,30461,8297,719,4842
Pennsylvania 18th,PA-18,Republican,Tim,Murphy,(TIM MUR-fee),/tɪm 'mɜɹ.fi/,2002,1952,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,0,100,0,100,,,,,41,57.9,R+,11,44.2,55.8,R+,9,94.6,2.3,0.9,1.5,0.1,0.6,35.4,114,34.9,186,"$62,254.00",136,0,100,0,100,36,64,342,,,,,166076,0,166076,0,122146,216727,,,,346855,142178,200985,351196,155226,195970,,-10.5,-9.5,705847,661140,16526,7617,11727,530,8307,560279,529932,12710,5004,8633,409,3591
Rhode Island 1st,RI-01,Democratic,David,Cicilline,(DAY-vid sih-sih-LEE-nee),/'deɪ.vɪd ˌsɪ.sɪ.'li.ni/,2010,1961,Man,White - Non-Hispanic,Jewish,Gay,Re-elected,64.5,35.1,59.5,40.2,60.5,34.9,D+,12,66.2,32.2,D+,15,67.7,32.3,D+,14,75.7,5.8,11.9,3,0.3,3.3,32.7,145,36.1,171,"$51,966.00",247,64.8,35.2,59.7,40.3,56.5,43.5,343,,,,,146353,87060,58877,416,108612,83737,216116,130682,75510,213460,141332,68685,222127,150363,71764,12.3,15.3,14,525933,377374,33572,75650,15533,1791,22013,412614,312510,23909,48985,12193,1311,13706
Rhode Island 2nd,RI-02,Democratic,Jim,Langevin,(JIM LAN-juh-vin),/dʒɪm 'læn.dʒə.vɪn/,2000,1964,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,58.1,30.7,62.2,37.6,51.1,44,D+,3,59.8,38.3,D+,9,61,39,D+,7,83.7,3.2,8.6,2.7,0.4,1.4,32.7,145,35,185,"$64,118.00",121,65.4,34.6,62.3,37.7,61.3,38.7,344,,,,,169904,105716,63844,344,124067,78189,238589,121843,105033,231208,138345,88519,239835,146208,93627,2.6,9,7.3,526634,426311,17988,55005,14760,2229,10341,415997,348313,13316,35730,11304,1622,5712
South Carolina 1st,SC-01,Republican,Mark,Sanford,(MARK SAN-ferd),/mɑɹk 'sæn.fəɹd/,"2013 Special, 1994-2000",1960,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,36.8,58.6,0,93.4,40.4,53.5,R+,8,40.2,58.3,R+,11,43.2,56.8,R+,10,73.4,17.8,5.5,1.8,0.3,1.2,39.6,81,45.5,84,"$61,907.00",139,38.6,61.4,0,100,36.5,63.5,345,,,,,127815,0,119392,8423,103557,179908,333021,134685,178052,297933,119756,173550,274952,118886,156066,-8,-11.1,-10.4,650785,458423,124899,41893,11245,2070,12255,501866,368327,89421,27654,8860,1588,6016
South Carolina 2nd,SC-02,Republican,Joe,Wilson,(JOH WILL-suhn),/dʒoʊ 'wɪl.sən/,2001 Special,1947,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,35.9,60.2,35.3,62.4,38.6,56.3,R+,10,39.4,59.1,R+,12,39.8,60.2,R+,14,70.5,21.7,4.6,1.7,0.4,1.1,33.5,134,36.4,167,"$56,454.00",192,37.3,62.7,36.1,63.9,0,100,346,,,,,194808,68719,121649,4440,0,196116,312625,120591,175985,287443,113338,170005,282432,112547,169885,-10.5,-12,-13.8,665499,451332,154392,34563,11108,2360,11744,504664,356012,109536,23009,8505,1834,5768
South Carolina 3rd,SC-03,Republican,Jeff,Duncan,(JEFF DUHN-kin),/dʒɛf 'dʌŋ.kɪn/,2010,1966,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,27.1,72.8,28.8,71.2,29,67,R+,21,33.9,64.5,R+,17,35.6,64.4,R+,18,77,17.8,3.5,0.8,0.2,0.7,19.8,376,22.2,391,"$43,034.00",372,27.1,72.9,28.8,71.2,33.3,66.7,347,,,,,164009,47181,116741,87,84735,169512,284348,82527,190540,263638,89494,170173,262715,93525,169190,-20.9,-17.5,-18.1,660789,494909,122916,27845,5225,1367,8527,510519,392896,90929,17740,4093,1091,3770
South Carolina 4th,SC-04,Republican,Trey,Gowdy,(CHRAY GOW-dee) [OW as in cow],/tʃɹeɪ 'gaʊ.ɾi/,2010,1964,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,31,67.2,0,84.8,34.5,60.2,R+,15,36.2,62.2,R+,15,38.4,61.6,R+,15,72.6,18,6.3,2,0.2,0.9,30.2,185,35.4,182,"$50,015.00",281,31.6,68.4,0,100,34.2,65.8,348,,,,,149049,0,126452,22597,89964,173201,301747,103975,181634,274554,99387,170679,266266,102178,164088,-14.7,-15.2,-15.3,661218,462755,124400,48816,13999,1306,9942,501815,364448,90394,31395,10134,1014,4430
South Carolina 5th,SC-05,Republican,Mick,Mulvaney,(MICK muhl-VAY-nee),/mɪk məl.'veɪ.nee/,2010,1967,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,38.7,59.2,41.1,58.9,38.8,57.3,R+,11,43.6,55.1,R+,8,44.4,55.6,R+,9,68.2,26.4,3.1,1,0.4,0.8,23.1,321,26.4,317,"$45,802.00",346,39.5,60.5,41.1,58.9,44.4,55.6,349,,,,,175145,71985,103078,82,123443,154324,306200,118791,175391,286200,124832,157710,270998,120264,150734,-10.7,-7.8,-9.3,660216,435695,180407,24958,6535,3008,9613,498138,339933,131638,15457,4837,2094,4179
South Carolina 6th,SC-06,Democratic,James,Clyburn,(JAYMZ KLAHY-bern),/dʒeɪmz 'kla.bəɹn/,1992,1940,Man,Black - African-American,African Methodist,No,Re-elected,70.1,27.6,72.5,25.5,66.8,30.3,D+,18,70.9,28.1,D+,20,70.8,29.2,D+,17,39.1,54.4,4.1,1.1,0.4,0.9,19.2,390,27.4,304,"$34,566.00",430,71.7,28.3,73.9,26.1,100,0,350,,,,,173432,125747,44311,3374,218717,0,266848,178159,80741,275266,195131,77299,271211,191945,79266,17.7,19.7,17.1,665721,239031,377877,31149,6676,2354,8634,514995,201500,279964,21343,5585,1837,4766
South Carolina 7th,SC-07,Republican,Tom,Rice,(TAHM RICE),/tɑm ɹaɪs/,2012,1957,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,38.9,61,40,60,39.1,58,R+,11,44.4,54.5,R+,7,45.8,54.2,R+,8,66.8,27.5,3.4,0.8,0.6,0.8,20.6,362,24.4,353,"$41,473.00",393,39,61,40,60,44.4,55.6,351,,,,,171524,68576,102833,115,122389,153068,298237,116645,173046,279085,124002,152230,268769,123103,145666,-10.8,-7.1,-7.9,661136,420595,195107,26458,5632,4149,9195,512893,342651,141010,17578,4244,3155,4255
South Dakota At-Large,SD-00,Republican,Kristi,Noem,(KRISS-tee NOHM),/'kɹɪ.sti noʊm/,2010,1971,Woman,White - Non-Hispanic,Evangelical,No,Re-elected,35.9,64.1,33.5,66.5,31.7,61.5,R+,17,39.9,57.9,R+,11,45.7,54.3,R+,8,87.8,1,2.1,0.9,6.9,1.1,27.5,235,29.3,269,"$53,017.00",231,35.9,64.1,33.5,66.5,42.6,57.4,352,,,,,276319,92485,183834,0,153789,207640,370047,117442,227701,363809,145039,210610,373978,170924,203054,-17.1,-11.2,-8,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938
Tennessee 1st,TN-01,Republican,Phil,Roe,(FILL ROH),/fɪl ɹoʊ/,2008,1945,Man,White - Non-Hispanic,Methodist,No,Re-elected,15.4,78.4,0,82.8,19.7,76.7,R+,31,25.7,72.7,R+,26,29.1,70.9,R+,25,93.7,2.1,2.5,0.6,0.2,0.8,19.2,390,19.2,418,"$39,081.00",411,16.4,83.6,0,100,20.7,79.3,353,,,,,139470,0,115533,23937,47663,182252,265493,52240,203668,256324,65767,186310,265316,77079,188237,-30.7,-25.9,-24.6,706717,653702,15054,22775,4654,1684,8848,557064,521859,11541,14150,3521,1390,4603
Tennessee 2nd,TN-02,Republican,John,Duncan,(JAHN DUHN-kuhn),/dʒɑn 'dʌŋ.kən/,1988 Special,1947,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,24.4,75.6,22.6,72.5,29.7,65.1,R+,20,30.9,67.3,R+,21,35,65,R+,19,88.9,5.7,2.8,1.4,0.3,1,29.9,192,30.5,249,"$49,841.00",284,24.4,75.6,23.7,76.3,21.7,78.3,354,,,,,166751,37612,120883,8256,54522,196894,290193,86214,188956,276952,85525,186368,289886,101603,188283,-19.8,-20.5,-18.6,702769,613371,42845,23843,9890,1771,11049,549646,488678,31323,15212,7504,1402,5527
Tennessee 3rd,TN-03,Republican,Chuck,Fleischmann,(CHUCK FLAHY-shmin),/tʃʌk 'flaɪ.ʃmɪn/,2010,1962,Man,White - Non-Hispanic,Christian,No,Re-elected,28.8,66.4,34.6,62.4,30.2,65.4,R+,20,35.1,63.3,R+,16,37.8,62.2,R+,16,84.9,10.1,2.6,1.1,0.3,1,22.5,329,23.4,367,"$43,526.00",370,30.3,69.7,35.7,64.3,36.6,63.4,355,,,,,156097,53983,97344,4770,91094,157830,276457,83524,180932,271565,95226,171838,281723,106560,175163,-19.5,-16.3,-15.9,705326,586894,75983,22228,7957,1929,10335,550020,466957,55693,14272,6054,1567,5477
Tennessee 4th,TN-04,Republican,Scott,DesJarlais,(SKAHT DAY-zher-lay),/skɑt 'deɪ.ʒəɹ.leɪ/,2010,1964,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,35,65,35.3,58.3,27.4,68.6,R+,23,33.1,65.3,R+,18,36.4,63.6,R+,17,85.2,7.7,4.4,1.5,0.3,1,21.6,344,22.3,390,"$49,312.00",293,35,65,37.7,62.3,44.2,55.8,356,,,,,145418,51357,84815,9246,102022,128568,276582,75831,189613,260182,86133,169977,268243,97643,170600,-22.5,-18.3,-17.3,706861,586940,56789,38525,10760,2088,11759,534051,454758,41181,23364,7807,1650,5291
Tennessee 5th,TN-05,Democratic,Jim,Cooper,(JIM KOO-per) [Rhymes with Booker],/dʒɪm 'kʊ.pəɹ/,"2002, 1982-1994",1954,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,62.6,37.4,62.3,35.7,56.5,38.2,D+,9,55.9,42.5,D+,5,58.2,41.8,D+,5,65,23.1,7.5,2.7,0.3,1.4,36.4,105,42.6,101,"$51,554.00",252,62.6,37.4,63.6,36.4,66.6,33.4,357,,,,,154276,96148,55078,3050,171621,86240,276959,156608,105776,273794,152939,116229,292422,170190,122232,8.6,4.9,4.5,702181,429033,174518,63349,19481,1684,14116,547011,355749,126434,41046,14934,1419,7429
Tennessee 6th,TN-06,Republican,Diane,Black,(DIE-ann BLACK),/'daɪ.æn blæk/,2010,1951,Woman,White - Non-Hispanic,Lutheran,No,Re-elected,21.8,71.1,23,71.1,23.7,72.6,R+,27,29.5,69.1,R+,22,34,66,R+,20,91.5,3.8,2.9,0.7,0.3,0.8,21.6,344,21.4,400,"$47,227.00",322,23.5,76.5,24.4,75.6,0,100,358,,,,,162097,37232,115231,9634,0,184383,297967,70549,216461,278928,82297,192662,285330,97072,188258,-26.5,-22,-19.7,708141,638135,28183,25490,5357,1970,9006,539694,493996,20355,15497,3880,1570,4396
Tennessee 7th,TN-07,Republican,Marsha,Blackburn,(MAR-shuh BLACK-burn),/'mɑɹ.ʃə 'blæk.bəɹn/,2002,1952,Woman,White - Non-Hispanic,Presbyterian,No,Re-elected,23.5,72.2,26.8,70,28.2,67.5,R+,22,32.9,65.7,R+,19,36.8,63.2,R+,17,84.3,9.4,3.3,1.5,0.3,1.2,28.4,224,29.1,272,"$53,238.00",230,24.6,75.4,27.7,72.3,25.2,74.8,359,,,,,157907,42280,110534,5093,61679,182730,291561,82313,196848,279796,92042,183757,282170,103884,178286,-21.6,-18.6,-16.9,703960,581125,67578,28766,10908,2182,13401,522321,440345,49038,17362,7856,1709,6011
Tennessee 8th,TN-08,Republican,David,Kustoff,(DAY-vid KUSS-tawf),/'deɪ.vɪd 'kʌs.tɔf/,2016,1966,Man,White - Non-Hispanic,Jewish,No,Open - Retired,25.1,68.8,24.6,70.8,30.7,66.3,R+,19,32.9,66.1,R+,19,35.3,64.7,R+,18,76.7,18.6,2.2,1.5,0.2,0.8,28.5,223,30,256,"$55,100.00",207,26.7,73.3,25.8,74.2,29.4,70.6,360,,,,,172595,42433,122255,7907,79490,190923,296672,91025,196702,305053,100213,201645,313660,110590,203070,-19.5,-18.8,-18.4,704834,526413,137108,18977,11644,1579,9113,533039,408794,99058,11720,8185,1232,4050
Tennessee 9th,TN-09,Democratic,Steve,Cohen,(STEEV KOH-wuhn),/stiv 'koʊ.ən/,2006,1949,Man,White - Non-Hispanic,Jewish,No,Re-elected,78.7,18.9,75,23.3,77.5,19.8,D+,29,78.4,20.9,D+,27,77.4,22.6,D+,24,30.2,61.1,5.7,1.8,0.2,0.9,23.2,318,38.4,147,"$37,388.00",419,80.7,19.3,76.3,23.7,75.9,24.1,361,,,,,116550,87376,27173,2001,188422,59742,222353,172391,43970,255982,200568,53544,287863,222816,65047,28.6,27,23.7,705316,185169,451333,46106,12427,1415,8866,517258,156441,316030,29383,9564,1066,4774
Texas 1st,TX-01,Republican,Louie,Gohmert,(LOO-ee GOH-mert),/'lu.i 'goʊ.məɹt/,2004,1953,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,24.1,73.9,22.5,77.5,,,,,27.5,71.6,R+,24,30.7,69.3,R+,23,68.3,17.2,12.3,0.9,0.4,0.9,20.3,368,25.1,341,"$46,537.00",337,24.6,75.4,22.5,77.5,27.4,72.6,362,,,,,148560,33476,115084,0,67222,178322,,,,254055,69858,181835,257438,78918,178520,,-24.2,-23,697653,449361,122388,108031,6394,2514,8965,523109,357220,90056,64595,4739,1984,4515
Texas 2nd,TX-02,Republican,Ted,Poe,(TED POH),/tɛd poʊ/,2004,1948,Man,White - Non-Hispanic,Churches of Christ,No,Re-elected,36,60.6,29.6,67.9,,,,,35.6,62.9,R+,16,37.7,62.3,R+,16,54.3,9.2,27.8,7.3,0.3,1.2,40.1,75,49.7,58,"$74,246.00",66,37.3,62.7,30.4,69.6,33.5,66.5,363,,,,,150026,44462,101936,3628,80512,159664,,,,249569,88751,157094,241752,91087,150665,,-15.9,-16,723642,362572,69835,226797,50935,1709,11794,535783,291002,49043,148729,39188,1350,6471
Texas 3rd,TX-03,Republican,Sam,Johnson,(SAM JAHN-suhn),/sæm 'dʒɑn.sən/,1991 Special,1930,Man,White - Non-Hispanic,Methodist,No,Re-elected,34.6,61.2,0,82,,,,,34.2,64.3,R+,17,37.8,62.2,R+,16,65.3,8.1,12.8,11.8,0.4,1.6,52.6,17,54.1,38,"$86,565.00",26,36.1,63.9,0,100,0,100,364,,,,,138280,0,113404,24876,0,187180,,,,272664,93290,175383,265598,100440,165158,,-17.2,-15.9,701227,437406,58722,101226,84802,2789,16282,501350,327172,40578,63967,59405,1993,8235
Texas 4th,TX-04,Republican,John,Ratcliffe,(JAHN RAT-kliff),/dʒɑn 'ɹæt.klɪf/,2014,1965,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,0,88,0,100,,,,,24.8,74,R+,27,29.6,70.4,R+,24,77.1,10.3,9.8,0.9,0.8,1.1,19.5,384,21.8,398,"$47,850.00",314,0,100,0,100,24.8,75.2,365,,,,,115085,0,115085,0,60214,182679,,,,256123,63559,189554,256682,75910,180772,,-26.9,-24.1,704405,519963,74839,85956,6406,5385,11856,526203,405741,54297,51330,4837,4022,5976
Texas 5th,TX-05,Republican,Jeb,Hensarling,(JEB HEN-ser-ling),/dʒɛb 'hɛn.səɹ.lɪŋg/,2002,1957,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,0,80.6,0,85.4,,,,,34.4,64.5,R+,17,37.7,62.3,R+,16,62.5,13.3,20.9,1.8,0.4,1,20,372,25.1,341,"$46,900.00",331,0,100,0,100,34,66,366,,,,,104262,0,88998,15264,69178,134091,,,,212669,73085,137239,220914,83216,137698,,-17.2,-16,687716,395476,94652,172350,12674,2883,9681,503906,314945,67157,105195,9294,2250,5065
Texas 6th,TX-06,Republican,Joe,Barton,(JOH BAR-tn),/dʒoʊ 'bɑɹ.ʔn/,1984,1949,Man,White - Non-Hispanic,Methodist,No,Re-elected,39,58.3,36.4,61.1,,,,,40.8,57.9,R+,11,42.5,57.5,R+,11,58.5,17,17.9,4.9,0.4,1.3,29.8,198,33.4,200,"$62,290.00",133,40.1,59.9,37.3,62.7,40.3,59.7,367,,,,,150996,55027,92334,3635,98053,145019,,,,253795,103444,146985,258357,109854,148503,,-10.7,-11.2,694650,374470,125770,145387,33268,2590,13165,499013,292050,84755,89103,24578,1956,6571
Texas 7th,TX-07,Republican,John,Culberson,(JAHN KUHL-ber-suhn),/dʒɑn 'kʌl.bəɹ.sən/,2000,1956,Man,White - Non-Hispanic,Methodist,No,Re-elected,43.8,56.2,34.5,63.3,,,,,38.6,59.9,R+,13,40.8,59.2,R+,13,50.9,10.7,27.1,9.6,0.2,1.5,48.6,26,62.8,17,"$71,337.00",79,43.8,56.2,35.3,64.7,37.5,62.5,368,,,,,143219,49478,90606,3135,85553,142793,,,,239767,92499,143631,237558,96866,140692,,-12.8,-12.9,699182,330675,77731,211163,65030,1331,13252,519856,264568,55558,141108,49973,1018,7631
Texas 8th,TX-08,Republican,Kevin,Brady,(KEH-vin BRAY-dee),/'kɛ.vɪn 'bɹeɪ.ɾi/,1996,1955,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,0,100,0,89.3,,,,,21.7,77,R+,30,26.4,73.6,R+,27,71.8,8.3,16.6,2,0.4,1,29.6,202,32.7,216,"$64,196.00",120,0,100,0,100,20.8,79.2,369,,,,,140013,0,125066,14947,51051,194043,,,,254167,55273,195742,232765,61357,171408,,-29.9,-27.3,694659,476580,56090,135278,14239,2551,9921,513910,368897,42412,85144,10386,1961,5110
Texas 9th,TX-09,Democratic,Al,Green,(AL GREEN),/æl gɹin/,2004,1947,Man,Black - African-American,Southern Baptist,No,Re-elected,80.6,19.4,90.8,0,,,,,78,21.1,D+,27,76.5,23.5,D+,23,13.9,38.2,34,12.5,0.2,1.2,25.1,281,46.3,78,"$43,572.00",369,80.6,19.4,100,0,79.9,20.1,370,,,,,86003,78109,0,7894,144075,36139,,,,186267,145332,39392,189227,144707,44520,,26.7,22.8,696349,79829,268321,259715,77370,1053,10061,499324,69338,190957,169698,62363,772,6196
Texas 10th,TX-10,Republican,Michael,McCaul,(MY-kuhl muh-KAWL),/'maɪ.kəl mə.'kɔl/,2004,1962,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,38.4,57.3,34.1,62.2,,,,,38.8,59.1,R+,12,43.1,56.9,R+,11,61.8,9.5,22.8,4.4,0.3,1.2,38.3,91,46.3,78,"$70,494.00",82,40.1,59.9,35.4,64.6,37.5,62.5,371,,,,,176460,60243,109726,6491,95710,159783,,,,270136,104839,159714,261733,112866,148867,,-12.3,-10.6,689685,397326,67060,181716,30551,1905,11127,507359,313669,48316,115513,22404,1487,5970
Texas 11th,TX-11,Republican,Mike,Conaway,(MIKE KAHN-uh-way),/maɪk 'kɑ.nə.weɪ/,2004,1948,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,89.5,0,90.3,,,,,19.6,79.2,R+,32,23.4,76.6,R+,30,66.2,3.3,28.4,0.8,0.4,0.8,21,353,26.8,314,"$56,334.00",195,0,100,0,100,19.1,80.9,372,,,,,119574,0,107939,11635,41970,177742,,,,230331,45070,182355,240383,56145,184238,,-32.1,-30.3,716106,440232,24198,235860,5313,3058,7445,537073,355583,17930,152538,4106,2398,4518
Texas 12th,TX-12,Republican,Kay,Granger,(KAY GRAYN-jer),/keɪ 'gɹeɪn.dʒəɹ/,1996,1943,Woman,White - Non-Hispanic,Methodist,No,Re-elected,26.9,69.4,26.3,71.3,,,,,31.7,66.8,R+,20,35.8,64.2,R+,18,70.7,7.2,17.3,3.1,0.5,1.2,30.1,189,34,194,"$62,274.00",135,27.9,72.1,26.9,73.1,27.3,72.7,373,,,,,158730,41757,113186,3787,66080,175649,,,,249826,79147,166992,250748,89718,161030,,-19.8,-17.9,692446,460918,52742,142814,20927,3373,11672,514594,363918,37107,88818,15865,2622,6264
Texas 13th,TX-13,Republican,Mac,Thornberry,(MACK THORN-bear-ee),/mæk 'θɔɹn.bɛ.ɹi/,1994,1958,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,0,90,12.8,84.3,,,,,18.5,80.2,R+,33,22.4,77.6,R+,31,71.2,5.2,20.3,1.6,0.6,1,20.5,364,24.5,352,"$49,281.00",294,0,100,13.2,86.8,0,100,374,,,,,131451,16822,110842,3787,0,187775,,,,229545,42521,184104,244455,54855,189600,,-33.2,-31.2,697818,466233,36270,169542,11664,4324,9785,518568,369280,27066,105177,8457,3271,5317
Texas 14th,TX-14,Republican,Randy,Weber,(RAN-dee WEB-er),/'ɹæn.di 'wɛ.bəɹ/,2012,1953,Man,White - Non-Hispanic,Baptist,No,Re-elected,38.1,61.9,36.1,61.9,,,,,39.5,59.3,R+,12,42.5,57.5,R+,11,56.9,19.8,19.2,2.8,0.4,1,24.2,298,30.4,250,"$57,520.00",177,38.1,61.9,36.8,63.2,45.5,54.5,375,,,,,145698,52545,90116,3037,109697,131460,,,,248073,97958,147213,242206,102902,139304,,-12,-11.2,699852,372487,141256,154676,19462,2350,9621,524374,298262,103606,100850,14630,1888,5138
Texas 15th,TX-15,Democratic,Vicente,González,(vi-SEN-tay gon-ZAH-lez),/vɪ.'sɛn.te gɑn.'zɑ.lɛz/,2016,1967/1968,Man,Hispanic,,No,Open - Retired,57.3,37.7,54,43.3,,,,,57.4,41.5,D+,6,57.8,42.2,D+,4,19.4,1.7,77.3,1.2,0.1,0.4,18.7,396,33,211,"$41,993.00",392,60.3,39.7,55.5,44.5,62.3,37.7,376,,,,,90184,48708,39016,2460,89296,54056,,,,151351,86941,62885,145206,83924,61282,,6.1,4.1,693850,112499,10009,560294,7323,833,2892,466070,90311,7833,360207,5402,630,1687
Texas 16th,TX-16,Democratic,Beto,O'Rourke,(BEH-toh oh-RORK) [uses an alveolar stop /t/ instead of flap /ɾ/],/'bɛ.toʊ oʊ.'ɹɔɹk/,2012,1972,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,85.7,0,67.5,29.2,,,,,64.2,34.5,D+,13,65.1,34.9,D+,11,17.1,3,77.5,1.4,0.3,0.7,24.3,294,42.7,99,"$45,316.00",352,100,0,69.8,30.2,66.5,33.5,377,,,,,73105,49338,21324,2443,101403,51043,,,,157414,100993,54315,168151,109387,58764,,13.1,11.4,692582,102246,20224,554318,8258,1673,5863,489548,83767,14907,379571,6655,1290,3358
Texas 17th,TX-17,Republican,Bill,Flores,(BILL FLOR-iss),/bɪl 'flɔ.ɹɪs/,2010,1954,Man,Hispanic - Texan (Hispanos),Southern Baptist,No,Re-elected,35.2,60.8,32.4,64.6,,,,,37.7,60.4,R+,14,41.4,58.6,R+,12,62.1,12.4,19.9,4.2,0.3,1.1,30.7,176,36.4,167,"$51,024.00",264,36.7,63.3,33.4,66.6,0,100,378,,,,,132865,43049,85807,4009,0,143284,,,,224079,84531,135309,231622,95884,135738,,-13.5,-12.3,702420,404411,93389,163935,27921,1926,10838,534916,332332,66455,106291,22306,1533,5999
Texas 18th,TX-18,Democratic,Shelia,Jackson Lee,(SHEE-luh JACK-suhn LEE),/'ʃi.lə 'dʒæk.sən li/,1994,1950,Woman,Black - African-American,Seventh-Day Adventist,No,Re-elected,73.5,23.6,71.8,24.8,,,,,76.1,22.8,D+,25,77,23,D+,23,20,41,34,3.7,0.2,1,21,353,47.2,71,"$43,100.00",371,75.7,24.3,74.4,25.6,76.9,23.1,379,,,,,106010,76097,26249,3664,146223,44015,,,,197206,150129,44991,195802,150733,45069,,25,23.3,678812,112335,275335,259219,22600,1192,8131,492316,98645,201998,167403,18263,946,5061
Texas 19th,TX-19,Republican,Jodey,Arrington,(JOH-dee AIR-ing-tuhn),/'dʒoʊ.ɾi 'ɛ.ɹɪŋg.tən/,2016,1972,Man,White - Non-Hispanic,Christian,No,Open - Retired,0,86.7,18.4,77.1,,,,,25,73.6,R+,27,28.2,71.8,R+,26,62.2,5.7,29.4,1.4,0.4,0.9,20.5,364,27.7,298,"$47,305.00",321,0,100,19.3,80.7,0,100,380,,,,,115825,21325,89326,5174,0,163239,,,,217619,54461,160141,234675,66122,168553,,-26.6,-25.5,700602,402548,40888,237388,8923,2579,8276,524057,325744,30090,154297,7238,2048,4640
